id,name,types,reviewsLink,primaryType
ChIJo5EYOK_4mUcRi4shjNiEDUc,"{'text': 'Boxenstop', 'languageCode': 'de'}","bar, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f8af381891a3:0x470d84d88c218b8b!9m1!1b1,bar
ChIJ_VfiMxj6mUcRRK_QBdxww7g,"{'text': 'Alte Krone', 'languageCode': 'de'}","italian_restaurant, liquor_store, restaurant, food, point_of_interest, store, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fa1833e257fd:0xb8c370dc05d0af44!9m1!1b1,italian_restaurant
ChIJ_VWb4xn6mUcRH4NujtHMKJI,"{'text': 'Café Kult Dußlingen', 'languageCode': 'de'}","cafe, coffee_shop, breakfast_restaurant, restaurant, food_store, food, point_of_interest, store, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fa19e39b55fd:0x9228ccd18e6e831f!9m1!1b1,cafe
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,"{'text': ""La piccola s'Casa Imbiss Pizza"", 'languageCode': 'de'}","pizza_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f100369c10df:0x8fc1b9a191d4b2b4!9m1!1b1,pizza_restaurant
ChIJ3bJ1WPDxmUcRBC55YV0woIA,"{'text': ""s'Casa"", 'languageCode': 'de'}","bar, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f1f05875b2dd:0x80a0305d61792e04!9m1!1b1,bar
ChIJT4FlA7zwmUcRcrmR1JIlwm8,"{'text': 'Nazar Imbiss', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f0bc0365814f:0x6fc22592d491b972!9m1!1b1,restaurant
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,"{'text': 'Trattoria Da Daniele - Italienisches Restaurant in Gomaringen', 'languageCode': 'de'}","italian_restaurant, pizza_restaurant, fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f145f873d8e5:0xba5010be3e794b9!9m1!1b1,italian_restaurant
ChIJyfOQ32r6mUcRlmkEAh1apbs,"{'text': 'Gasthaus Schützenhaus / Partyservice Kaltenmark', 'languageCode': 'de'}","restaurant, catering_service, food_delivery, bar, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fa6adf90f3c9:0xbba55a1d02046996!9m1!1b1,restaurant
ChIJKTNtZZjwmUcRtKWjb8U2YqI,"{'text': 'Wirtshaus Krone', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f098656d3329:0xa26236c56fa3a5b4!9m1!1b1,restaurant
ChIJ21ldIJXwmUcRqVJwdqcHroA,"{'text': 'Bakery Schmid ""cafe cult""', 'languageCode': 'en'}","bakery, breakfast_restaurant, food_store, store, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f095205d59db:0x80ae07a7767052a9!9m1!1b1,bakery
